r,c
117,143
118,143
119,143
120,143
121,143
122,143
123,143
124,143
125,143
126,143
127,143
128,143
129,143
130,143
131,143
132,143
133,143
134,143
135,143
136,143
137,143
138,143
139,143
140,143
141,143
142,143
143,143
16,48
16,49
16,50
16,51
16,52
16,53
16,54
16,55
16,56
16,57
16,58
16,59
16,60
16,61
16,62
16,63
16,64
16,65
16,66
16,67
16,68
16,69
16,70
16,71
16,72
16,73
16,74
16,75
16,76
16,77
16,78
16,79
16,80
16,81
16,82
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
16,93
16,94
16,95
16,96
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,55
17,56
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
17,66
17,67
17,68
17,69
17,70
17,71
17,72
17,73
17,74
17,75
17,76
17,77
17,78
17,79
17,80
17,81
17,82
17,83
17,84
17,85
17,86
17,87
17,88
17,89
17,90
17,91
17,92
17,93
17,94
17,95
17,96
18,48
18,49
18,50
18,51
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,59
18,60
18,61
18,62
18,63
18,64
18,65
18,66
18,67
18,68
18,69
18,70
18,71
18,72
18,73
18,74
18,75
18,76
18,77
18,78
18,79
18,80
18,81
18,82
18,83
18,84
18,85
18,86
18,87
18,88
18,89
18,90
18,91
18,92
18,93
18,94
18,95
18,96
19,48
19,49
19,50
19,51
19,52
19,53
19,54
19,55
19,56
19,57
19,58
19,59
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,67
19,68
19,69
19,70
19,71
19,72
19,73
19,74
19,75
19,76
19,77
19,78
19,79
19,80
19,81
19,82
19,83
19,84
19,85
19,86
19,87
19,88
19,89
19,90
19,91
19,92
19,93
19,94
19,95
19,96
20,48
20,49
20,50
20,51
20,52
20,53
20,54
20,55
20,56
20,57
20,58
20,59
20,60
20,61
20,62
20,63
20,64
20,65
20,66
20,67
20,68
20,69
20,70
20,71
20,72
20,73
20,74
20,75
20,76
20,77
20,78
20,79
20,80
20,81
20,82
20,83
20,84
20,85
20,86
20,87
20,88
20,89
20,90
20,91
20,92
20,93
20,94
20,95
20,96
21,48
21,49
21,50
21,51
21,52
21,53
21,54
21,55
21,56
21,57
21,58
21,59
21,60
21,61
21,62
21,63
21,64
21,65
21,66
21,67
21,68
21,69
21,70
21,71
21,72
21,73
21,74
21,75
21,76
21,77
21,78
21,79
21,80
21,81
21,82
21,83
21,84
21,85
21,86
21,87
21,88
21,89
21,90
21,91
21,92
21,93
21,94
21,95
21,96
121,48
121,49
121,50
121,51
121,52
121,53
121,54
121,55
121,56
121,57
121,58
121,59
121,60
121,61
121,62
121,63
121,64
121,65
121,66
121,67
121,68
121,69
121,70
121,71
121,72
121,73
121,74
121,75
121,76
121,77
121,78
121,79
121,80
121,81
121,82
121,83
121,84
121,85
121,86
121,87
121,88
121,89
121,90
121,91
121,92
121,93
121,94
121,95
121,96
122,48
122,49
122,50
122,51
122,52
122,53
122,54
122,55
122,56
122,57
122,58
122,59
122,60
122,61
122,62
122,63
122,64
122,65
122,66
122,67
122,68
122,69
122,70
122,71
122,72
122,73
122,74
122,75
122,76
122,77
122,78
122,79
122,80
122,81
122,82
122,83
122,84
122,85
122,86
122,87
122,88
122,89
122,90
122,91
122,92
122,93
122,94
122,95
122,96
123,48
123,49
123,50
123,51
123,52
123,53
123,54
123,55
123,56
123,57
123,58
123,59
123,60
123,61
123,62
123,63
123,64
123,65
123,66
123,67
123,68
123,69
123,70
123,71
123,72
123,73
123,74
123,75
123,76
123,77
123,78
123,79
123,80
123,81
123,82
123,83
123,84
123,85
123,86
123,87
123,88
123,89
123,90
123,91
123,92
123,93
123,94
123,95
123,96
124,48
124,49
124,50
124,51
124,52
124,53
124,54
124,55
124,56
124,57
124,58
124,59
124,60
124,61
124,62
124,63
124,64
124,65
124,66
124,67
124,68
124,69
124,70
124,71
124,72
124,73
124,74
124,75
124,76
124,77
124,78
124,79
124,80
124,81
124,82
124,83
124,84
124,85
124,86
124,87
124,88
124,89
124,90
124,91
124,92
124,93
124,94
124,95
124,96
125,48
125,49
125,50
125,51
125,52
125,53
125,54
125,55
125,56
125,57
125,58
125,59
125,60
125,61
125,62
125,63
125,64
125,65
125,66
125,67
125,68
125,69
125,70
125,71
125,72
125,73
125,74
125,75
125,76
125,77
125,78
125,79
125,80
125,81
125,82
125,83
125,84
125,85
125,86
125,87
125,88
125,89
125,90
125,91
125,92
125,93
125,94
125,95
125,96
126,48
126,49
126,50
126,51
126,52
126,53
126,54
126,55
126,56
126,57
126,58
126,59
126,60
126,61
126,62
126,63
126,64
126,65
126,66
126,67
126,68
126,69
126,70
126,71
126,72
126,73
126,74
126,75
126,76
126,77
126,78
126,79
126,80
126,81
126,82
126,83
126,84
126,85
126,86
126,87
126,88
126,89
126,90
126,91
126,92
126,93
126,94
126,95
126,96
59,59
59,60
59,61
59,62
59,63
60,59
60,60
60,61
60,62
60,63
61,59
61,60
61,61
61,62
61,63
62,59
62,60
62,61
62,62
62,63
63,59
63,60
63,61
63,62
63,63
60,60
60,61
60,62
60,63
60,64
61,60
61,61
61,62
61,63
61,64
62,60
62,61
62,62
62,63
62,64
63,60
63,61
63,62
63,63
63,64
64,60
64,61
64,62
64,63
64,64
61,61
61,62
61,63
61,64
61,65
62,61
62,62
62,63
62,64
62,65
63,61
63,62
63,63
63,64
63,65
64,61
64,62
64,63
64,64
64,65
65,61
65,62
65,63
65,64
65,65
62,62
62,63
62,64
62,65
62,66
63,62
63,63
63,64
63,65
63,66
64,62
64,63
64,64
64,65
64,66
65,62
65,63
65,64
65,65
65,66
66,62
66,63
66,64
66,65
66,66
63,63
63,64
63,65
63,66
63,67
64,63
64,64
64,65
64,66
64,67
65,63
65,64
65,65
65,66
65,67
66,63
66,64
66,65
66,66
66,67
67,63
67,64
67,65
67,66
67,67
64,64
64,65
64,66
64,67
64,68
65,64
65,65
65,66
65,67
65,68
66,64
66,65
66,66
66,67
66,68
67,64
67,65
67,66
67,67
67,68
68,64
68,65
68,66
68,67
68,68
65,65
65,66
65,67
65,68
65,69
66,65
66,66
66,67
66,68
66,69
67,65
67,66
67,67
67,68
67,69
68,65
68,66
68,67
68,68
68,69
69,65
69,66
69,67
69,68
69,69
66,66
66,67
66,68
66,69
66,70
67,66
67,67
67,68
67,69
67,70
68,66
68,67
68,68
68,69
68,70
69,66
69,67
69,68
69,69
69,70
70,66
70,67
70,68
70,69
70,70
67,67
67,68
67,69
67,70
67,71
68,67
68,68
68,69
68,70
68,71
69,67
69,68
69,69
69,70
69,71
70,67
70,68
70,69
70,70
70,71
71,67
71,68
71,69
71,70
71,71
68,68
68,69
68,70
68,71
68,72
69,68
69,69
69,70
69,71
69,72
70,68
70,69
70,70
70,71
70,72
71,68
71,69
71,70
71,71
71,72
72,68
72,69
72,70
72,71
72,72
69,69
69,70
69,71
69,72
69,73
70,69
70,70
70,71
70,72
70,73
71,69
71,70
71,71
71,72
71,73
72,69
72,70
72,71
72,72
72,73
73,69
73,70
73,71
73,72
73,73
70,70
70,71
70,72
70,73
70,74
71,70
71,71
71,72
71,73
71,74
72,70
72,71
72,72
72,73
72,74
73,70
73,71
73,72
73,73
73,74
74,70
74,71
74,72
74,73
74,74
71,71
71,72
71,73
71,74
71,75
72,71
72,72
72,73
72,74
72,75
73,71
73,72
73,73
73,74
73,75
74,71
74,72
74,73
74,74
74,75
75,71
75,72
75,73
75,74
75,75
72,72
72,73
72,74
72,75
72,76
73,72
73,73
73,74
73,75
73,76
74,72
74,73
74,74
74,75
74,76
75,72
75,73
75,74
75,75
75,76
76,72
76,73
76,74
76,75
76,76
73,73
73,74
73,75
73,76
73,77
74,73
74,74
74,75
74,76
74,77
75,73
75,74
75,75
75,76
75,77
76,73
76,74
76,75
76,76
76,77
77,73
77,74
77,75
77,76
77,77
74,74
74,75
74,76
74,77
74,78
75,74
75,75
75,76
75,77
75,78
76,74
76,75
76,76
76,77
76,78
77,74
77,75
77,76
77,77
77,78
78,74
78,75
78,76
78,77
78,78
75,75
75,76
75,77
75,78
75,79
76,75
76,76
76,77
76,78
76,79
77,75
77,76
77,77
77,78
77,79
78,75
78,76
78,77
78,78
78,79
79,75
79,76
79,77
79,78
79,79
76,76
76,77
76,78
76,79
76,80
77,76
77,77
77,78
77,79
77,80
78,76
78,77
78,78
78,79
78,80
79,76
79,77
79,78
79,79
79,80
80,76
80,77
80,78
80,79
80,80
77,77
77,78
77,79
77,80
77,81
78,77
78,78
78,79
78,80
78,81
79,77
79,78
79,79
79,80
79,81
80,77
80,78
80,79
80,80
80,81
81,77
81,78
81,79
81,80
81,81
78,78
78,79
78,80
78,81
78,82
79,78
79,79
79,80
79,81
79,82
80,78
80,79
80,80
80,81
80,82
81,78
81,79
81,80
81,81
81,82
82,78
82,79
82,80
82,81
82,82
79,79
79,80
79,81
79,82
79,83
80,79
80,80
80,81
80,82
80,83
81,79
81,80
81,81
81,82
81,83
82,79
82,80
82,81
82,82
82,83
83,79
83,80
83,81
83,82
83,83
80,80
80,81
80,82
80,83
80,84
81,80
81,81
81,82
81,83
81,84
82,80
82,81
82,82
82,83
82,84
83,80
83,81
83,82
83,83
83,84
84,80
84,81
84,82
84,83
84,84
81,81
81,82
81,83
81,84
81,85
82,81
82,82
82,83
82,84
82,85
83,81
83,82
83,83
83,84
83,85
84,81
84,82
84,83
84,84
84,85
85,81
85,82
85,83
85,84
85,85
59,81
59,82
59,83
59,84
59,85
60,81
60,82
60,83
60,84
60,85
61,81
61,82
61,83
61,84
61,85
62,81
62,82
62,83
62,84
62,85
63,81
63,82
63,83
63,84
63,85
60,80
60,81
60,82
60,83
60,84
61,80
61,81
61,82
61,83
61,84
62,80
62,81
62,82
62,83
62,84
63,80
63,81
63,82
63,83
63,84
64,80
64,81
64,82
64,83
64,84
61,79
61,80
61,81
61,82
61,83
62,79
62,80
62,81
62,82
62,83
63,79
63,80
63,81
63,82
63,83
64,79
64,80
64,81
64,82
64,83
65,79
65,80
65,81
65,82
65,83
62,78
62,79
62,80
62,81
62,82
63,78
63,79
63,80
63,81
63,82
64,78
64,79
64,80
64,81
64,82
65,78
65,79
65,80
65,81
65,82
66,78
66,79
66,80
66,81
66,82
63,77
63,78
63,79
63,80
63,81
64,77
64,78
64,79
64,80
64,81
65,77
65,78
65,79
65,80
65,81
66,77
66,78
66,79
66,80
66,81
67,77
67,78
67,79
67,80
67,81
64,76
64,77
64,78
64,79
64,80
65,76
65,77
65,78
65,79
65,80
66,76
66,77
66,78
66,79
66,80
67,76
67,77
67,78
67,79
67,80
68,76
68,77
68,78
68,79
68,80
65,75
65,76
65,77
65,78
65,79
66,75
66,76
66,77
66,78
66,79
67,75
67,76
67,77
67,78
67,79
68,75
68,76
68,77
68,78
68,79
69,75
69,76
69,77
69,78
69,79
66,74
66,75
66,76
66,77
66,78
67,74
67,75
67,76
67,77
67,78
68,74
68,75
68,76
68,77
68,78
69,74
69,75
69,76
69,77
69,78
70,74
70,75
70,76
70,77
70,78
67,73
67,74
67,75
67,76
67,77
68,73
68,74
68,75
68,76
68,77
69,73
69,74
69,75
69,76
69,77
70,73
70,74
70,75
70,76
70,77
71,73
71,74
71,75
71,76
71,77
68,72
68,73
68,74
68,75
68,76
69,72
69,73
69,74
69,75
69,76
70,72
70,73
70,74
70,75
70,76
71,72
71,73
71,74
71,75
71,76
72,72
72,73
72,74
72,75
72,76
69,71
69,72
69,73
69,74
69,75
70,71
70,72
70,73
70,74
70,75
71,71
71,72
71,73
71,74
71,75
72,71
72,72
72,73
72,74
72,75
73,71
73,72
73,73
73,74
73,75
70,70
70,71
70,72
70,73
70,74
71,70
71,71
71,72
71,73
71,74
72,70
72,71
72,72
72,73
72,74
73,70
73,71
73,72
73,73
73,74
74,70
74,71
74,72
74,73
74,74
71,69
71,70
71,71
71,72
71,73
72,69
72,70
72,71
72,72
72,73
73,69
73,70
73,71
73,72
73,73
74,69
74,70
74,71
74,72
74,73
75,69
75,70
75,71
75,72
75,73
72,68
72,69
72,70
72,71
72,72
73,68
73,69
73,70
73,71
73,72
74,68
74,69
74,70
74,71
74,72
75,68
75,69
75,70
75,71
75,72
76,68
76,69
76,70
76,71
76,72
73,67
73,68
73,69
73,70
73,71
74,67
74,68
74,69
74,70
74,71
75,67
75,68
75,69
75,70
75,71
76,67
76,68
76,69
76,70
76,71
77,67
77,68
77,69
77,70
77,71
74,66
74,67
74,68
74,69
74,70
75,66
75,67
75,68
75,69
75,70
76,66
76,67
76,68
76,69
76,70
77,66
77,67
77,68
77,69
77,70
78,66
78,67
78,68
78,69
78,70
75,65
75,66
75,67
75,68
75,69
76,65
76,66
76,67
76,68
76,69
77,65
77,66
77,67
77,68
77,69
78,65
78,66
78,67
78,68
78,69
79,65
79,66
79,67
79,68
79,69
76,64
76,65
76,66
76,67
76,68
77,64
77,65
77,66
77,67
77,68
78,64
78,65
78,66
78,67
78,68
79,64
79,65
79,66
79,67
79,68
80,64
80,65
80,66
80,67
80,68
77,63
77,64
77,65
77,66
77,67
78,63
78,64
78,65
78,66
78,67
79,63
79,64
79,65
79,66
79,67
80,63
80,64
80,65
80,66
80,67
81,63
81,64
81,65
81,66
81,67
78,62
78,63
78,64
78,65
78,66
79,62
79,63
79,64
79,65
79,66
80,62
80,63
80,64
80,65
80,66
81,62
81,63
81,64
81,65
81,66
82,62
82,63
82,64
82,65
82,66
79,61
79,62
79,63
79,64
79,65
80,61
80,62
80,63
80,64
80,65
81,61
81,62
81,63
81,64
81,65
82,61
82,62
82,63
82,64
82,65
83,61
83,62
83,63
83,64
83,65
80,60
80,61
80,62
80,63
80,64
81,60
81,61
81,62
81,63
81,64
82,60
82,61
82,62
82,63
82,64
83,60
83,61
83,62
83,63
83,64
84,60
84,61
84,62
84,63
84,64
81,59
81,60
81,61
81,62
81,63
82,59
82,60
82,61
82,62
82,63
83,59
83,60
83,61
83,62
83,63
84,59
84,60
84,61
84,62
84,63
85,59
85,60
85,61
85,62
85,63
17,1
17,2
17,3
17,4
17,5
18,1
18,2
18,3
18,4
18,5
19,1
19,2
19,3
19,4
19,5
20,1
20,2
20,3
20,4
20,5
122,1
122,2
122,3
122,4
122,5
123,1
123,2
123,3
123,4
123,5
124,1
124,2
124,3
124,4
124,5
125,1
125,2
125,3
125,4
125,5
17,138
17,139
17,140
17,141
17,142
18,138
18,139
18,140
18,141
18,142
19,138
19,139
19,140
19,141
19,142
20,138
20,139
20,140
20,141
20,142
122,138
122,139
122,140
122,141
122,142
123,138
123,139
123,140
123,141
123,142
124,138
124,139
124,140
124,141
124,142
125,138
125,139
125,140
125,141
125,142
